gene_id,gene_name,logFC,logCPM,PValue,FDR
ENSDARG00000020197,rpl5a,0.41392728007926594,7.202579642116445,1.3796221135988605e-4,0.0016781368399331168
ENSDARG00000028131,hccsa.1,0.5649229586547594,2.9362061219247333,1.3908002789045902e-4,0.0016880318483568477
ENSDARG00000002790,ap2m1a,0.4895992908524622,6.896434399511051,1.402266551306116e-4,0.0017007081205345314
ENSDARG00000009436,ubxn7,-0.5530231357536194,3.8644143060843463,1.4198260765888786e-4,0.001718385646215689
ENSDARG00000058463,ndufab1a,0.8053316111334298,4.264826357609985,1.463987564933269e-4,0.0017588991393855302
ENSDARG00000068143,slc39a6,-0.6532602521999387,5.970499042105667,1.4889797920324355e-4,0.0017812094708425396
ENSDARG00000057248,sclt1,-0.562033167045729,3.664052631476578,1.4977362528935978e-4,0.0017891120781155397
ENSDARG00000037652,zgc:56409,-0.6467499996286367,2.9029779870106256,1.5255991696232337e-4,0.0018143795108342608
ENSDARG00000070098,lcorl,-0.46193282746749814,5.822921591970378,1.5283826199547634e-4,0.001815295274521575
ENSDARG00000011157,arhgef18a,-0.777084589308907,2.415760410656514,1.5804170882000216e-4,0.0018664400530623393
ENSDARG00000018107,rab3da,-0.8944190022191715,2.5006245725489373,1.595169162057872e-4,0.0018785290061318462
ENSDARG00000019541,gpt2l,0.7379091673730752,6.492276639867726,1.6225288451119648e-4,0.001899991554022737
ENSDARG00000087277,selenoj,0.9453339450211681,3.202938977367899,1.6622190188898074e-4,0.0019396440725334078
ENSDARG00000095719,si:dkey-222h21.2,-1.3190524513741997,0.6510936527979049,1.6969059946784167e-4,0.001969073622834648
ENSDARG00000076223,SERP1,0.5939029714140065,4.1834439630240325,1.7459187084503894e-4,0.0020175060630982277
ENSDARG00000069910,gtf2f2a,-0.4790154784558449,4.270223831229524,1.760986603794582e-4,0.0020320954984148296
ENSDARG00000037260,toporsa,-0.5807971593164972,3.6013311239056653,1.8802949030043576e-4,0.0021386266019133636
ENSDARG00000104409,tnk2b,-0.46285986176238714,4.0314344776640265,1.886303810824976e-4,0.0021439955882600822
ENSDARG00000095921,si:ch1073-325m22.2,0.7150185658567675,4.8323934608302075,1.9137831105578326e-4,0.0021682733610174356
ENSDARG00000090727,celf5b,-0.5992668177198631,3.9231112759186204,1.9868098783955212e-4,0.0022308040739879536
ENSDARG00000113474,CABZ01067151.1,-0.7067051576327189,1.9500731406763558,2.0147842441061055e-4,0.0022561244833058944
ENSDARG00000078902,rims1b,-0.5656341755286716,6.330954132689534,2.0345331313977722e-4,0.0022721229064737534
ENSDARG00000013787,gucy1a1,0.4936379765992584,4.72743956275149,2.0853758057208768e-4,0.002321070633857328
ENSDARG00000008784,prpf4ba,-0.5944948601913616,6.179455501085593,2.1012120142229832e-4,0.002334056603249028
ENSDARG00000034785,dachb,-0.5675828700425871,3.5644437068658235,2.3112082155879858e-4,0.0025285012956860016
ENSDARG00000020031,cldn11a,0.8873569113262747,2.9221996846799567,2.3377003835747137e-4,0.002552449762643257
ENSDARG00000015946,slc44a1a,0.9415474916128678,1.3169253227373312,2.3852134326845522e-4,0.002592420086209729
ENSDARG00000008637,mttp,1.4826137359338638,0.2951166878415354,2.3950572684370896e-4,0.002599722958042607
ENSDARG00000018619,cers4b,-0.6066770409468902,4.004117763784423,2.4264836040976753e-4,0.0026235373537617833
ENSDARG00000011166,cahz,0.4679802028732445,5.502261271835196,2.6563467653192754e-4,0.002802892211471956
ENSDARG00000034896,ldb2b,-0.5894652894535582,5.565505758563352,2.691190624975212e-4,0.0028288952621343985
ENSDARG00000052037,trim35-1,-0.9630308051773961,1.5117768676138557,2.726669245565215e-4,0.0028517772624893256
ENSDARG00000078016,dtx4b,-0.5105463197346869,4.984973870291763,2.9427495749350004e-4,0.0030226761065999014
ENSDARG00000102184,mib1,0.4039647094490836,5.886414103356984,2.955080296502326e-4,0.003030737181663372
ENSDARG00000027199,smad1,0.6314807967325544,5.31386932828698,2.957882922488772e-4,0.003030737181663372
ENSDARG00000004525,zgc:63882,-0.7177553976067907,3.1238227608396283,3.092622265339644e-4,0.0031264419498937836
ENSDARG00000014545,golim4b,-0.7431701822699711,2.1402355731190514,3.1695992110414187e-4,0.0031772367995017595
ENSDARG00000102105,dad1,0.7616393347145146,3.0120837365584494,3.1782598142438874e-4,0.003182735855068961
ENSDARG00000039830,gng5,0.6899127173432715,3.551866402542356,3.407986940856236e-4,0.0033555563725353715
ENSDARG00000018319,arglu1b,-0.7767520248978145,6.68638071494627,3.4184258492773225e-4,0.003361856154372024
ENSDARG00000075560,kmt2cb,-0.38574913300772873,7.660770490099644,3.458455061601844e-4,0.00339520308112417
ENSDARG00000093323,si:ch211-114l13.1,-0.6427951913057317,4.3674126530357045,3.4898385290702086e-4,0.0034126534933983494
ENSDARG00000098730,en1b,-0.9606218038606021,4.169929669096783,3.514320686324302e-4,0.003427801654187361
ENSDARG00000089976,spcs3,0.7378770380210907,3.539764617202308,3.5371755411125626e-4,0.0034441480356674947
ENSDARG00000003631,clockb,-0.5901584906604325,5.03722629681423,3.5850027496351467e-4,0.0034723193104731574
