gene_id	Ps2Ex3M1_WT_6month_07_07_2016_F3_86_Fem	Ps2Ex3M1_Heter_6month_07_07_2016_F3_80_Fem	Ps2Ex3M1_Heter_6month_07_07_2016_F3_81_Fem	Ps2Ex3M1_Hom_6month_07_07_2016_F3_82_Fem	Ps2Ex3M1_Hom_6month_07_07_2016_F3_85_Fem	Ps2Ex3M1_Heter_6month_07_07_2016_F3_84_Fem	Ps2Ex3M1_WT_6month_07_07_2016_F3_79_Fem	Ps2Ex3M1_Hom_6month_07_07_2016_F3_78_Fem	Ps2Ex3M1_WT_6month_07_07_2016_F3_95_Fem	Ps2Ex3M1_Hom_6month_07_07_2016_F3_83_Fem	Ps2Ex3M1_Heter_6month_07_07_2016_F3_89_Fem	Ps2Ex3M1_WT_6month_07_07_2016_F3_88_Fem
ENSDARG00000026548	1.685511308113111	2.3512959729083214	2.177613509239518	2.1514635374337647	2.3328218367692126	1.9585200512796255	1.7919253498530192	1.8106244503381275	2.221000039704059	2.3984606171144214	2.1187525784477805	1.839254594623197
ENSDARG00000100700	2.023691653566871	1.1232584127377128	1.7531764620186894	0.9537594729412433	1.5157369373505452	1.3607109651281264	1.8508626737419394	1.6194998707748551	1.5720502781386094	0.9425936242318755	1.5247606970629368	1.560627547863863
ENSDARG00000052766	4.507758227481267	4.042170702894907	4.2370244624671045	4.2411316981022305	4.343182176879313	4.129336228949485	4.283980511920817	4.428010051321695	4.3297389131742205	4.28068297938273	4.429040785003146	4.359138824637345
ENSDARG00000019581	5.731126135785192	5.762028992989846	5.649684653602506	5.724886059184164	5.655120273827855	5.448539364859734	5.7983965883123165	5.7627014308017515	5.800348504215229	5.574999147642246	5.703783150132724	5.810006361334377
ENSDARG00000087290	2.205398091771137	1.748416261291798	2.161126884781146	2.2160371593457615	1.8805296433885694	1.8686154229912373	2.2050174025268534	2.09895797557098	1.9960600834041122	1.901549930282854	1.8084695474587433	2.1417824898254993
ENSDARG00000052496	2.0484210925166098	1.5506730307663212	2.0204616458597644	1.7236973940804106	2.033899308508065	1.467854723606938	1.7592522464115325	1.9909688203782077	1.9234196752005195	1.7355590392981721	1.3136795487052493	1.602219797374802
ENSDARG00000031164	4.455427178231494	5.091836255141262	4.9183465785293325	4.910588673554683	5.150269402097436	5.641128152779261	4.833674037004631	4.613033044151082	5.14786745950868	4.985379565416846	4.83490530555433	5.038283397341683
ENSDARG00000117216	-0.5082209318617084	-1.7743694767576077	-3.3480341673847054	-1.7743694767576077	1.043532832829917	-1.0378388332051243	-1.2018067470664127	-1.144868082889845	-1.6821126815572978	-2.018040743521812	-3.351165401392355	-1.144868082889845
ENSDARG00000088073	3.7145328116616034	4.1168386624105375	3.898848550839305	3.994658381501643	3.8561567704896262	4.598324877877885	3.9421870883689687	3.9094234813996835	4.051673867681436	4.01578954571525	3.8715256737970414	4.017904184538448
ENSDARG00000022668	4.822128616952638	4.197563263178352	4.19067949843614	4.138353297704492	4.169685995207201	3.3213315332708295	4.918853988189788	5.036916993622485	4.045986938529379	3.39662822207839	4.135133560002717	3.695157430010559
ENSDARG00000058803	-2.8119468783708506	-0.832122118896816	-1.8896242431648993	-0.7973758207689121	-1.8896242431648993	-2.018040743521812	-1.0378388332051243	-0.9448608177010023	-1.6821126815572978	-0.3262256874913989	-0.2185920480818453	-1.0836661432565906
ENSDARG00000117373	1.0741173676903748	-0.23739757584250398	0.9688400874494287	0.30385645883316137	-0.05722764085926846	1.663489343726067	1.2248306355883325	0.740751610709292	1.6159636462237579	0.7305467989803112	0.763779749620003	1.4407364407161651
